id_requisito,necesario,apropiado,no_ambiguo,completo,singular,factible,verificable,correcto,conforme,positivamente_expresado,abstraccion_apta,consistente,comparable,modificable,permitido
RF-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
RF-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-13,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
RF-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RF-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
